Wind ID,Date/Time,Latitude,Longitude,Nearest town,State,Max Gust speed,Comments,,,
6855,13/01/2013 8:36,-30.5317,151.6178,ARMIDALE AIRPORT,NSW,52,Wind averaging period 3 mins. NULL,,,
6856,13/01/2013 7:00,-31.0817,150.8511,TAMWORTH AIRPORT,NSW,68,Wind averaging period 2 mins. NULL,,,
6857,13/01/2013 7:16,-30.3484,149.7678,NARRABRI WEST,NSW,69,NULL NULL,,,
6858,18/01/2013 6:00,-33.6817,151.2262,TERREY HILLS,NSW,56,Wind averaging period 2 min. NULL,,,
6859,21/01/2013 7:30,-34.7318,146.5012,NARRANDERA,NSW,50,NULL NULL,,,
6860,1/02/2013 5:13,-31.8151,150.7345,MURRURUNDI,NSW,55,NULL NULL,,,
6861,1/02/2013 3:56,0,0,Oakdale,NSW,49,LGA: Wollondilly/Wingecarribee NULL,,,
6862,1/02/2013 7:43,-30.5317,151.6178,ARMIDALE AIRPORT,NSW,50,NULL NULL,,,
6863,1/02/2013 9:35,-30.8817,153.0345,SOUTH WEST ROCKS,NSW,49,NULL NULL,,,
6864,24/03/2013 6:04,-29.1151,153.4345,EVANS HEAD,NSW,49,NULL NULL,,,
6867,11/06/2013 5:37,-31.0867,141.7017,Fowlers Gap,NSW,48,Wind averaging period of 6mins. NULL,,,
6870,24/12/2012 7:30,-33.8151,148.6846,COWRA,NSW,0,"Tree damage to house at Cowra.  Driving from Cowra to Young noticed ""tree damage was almost total for a small distance"".  ""A number of dead birds on the ground apparently dashed to the ground by very intense winds."" NULL",,,
7041,3/10/2013 3:35,-32.7396,151.7786,Raymond Terrace,NSW,50,SES reported a large tree down and a partial roof of a house in the Ferodale area. Wind gust strength estimated from description of damage. NULL,,,
7042,21/10/2013 8:06,-33.068,147.213,Condobolin,NSW,56,NULL NULL,,,
7043,21/10/2013 8:11,-31.539,145.796,Cobar,NSW,58,NULL NULL,,,
7044,29/10/2013 0:22,-31.741,150.794,Murrurundi,NSW,57,NULL NULL,,,
7045,29/10/2013 3:05,-31.741,150.794,Murrurundi,NSW,60,NULL NULL,,,
7047,16/11/2013 8:06,-28.6387,153.6361,CAPE BYRON,NSW,0,NULL NULL,,,
7048,21/11/2013 7:41,-35.3167,149.2,CANBERRA AIRPORT,NSW,50,LGA:ACT %D Rainfall of 21mm recorded at Canberra Airport in the 10min to 07:46.  NULL,,,
7050,5/12/2013 2:25,-33.3817,149.1346,ORANGE AIPORT,NSW,49,NULL NULL,,,
7051,5/12/2013 5:38,-34.4151,147.5179,TEMORA AERODROME,NSW,51,NULL NULL,,,
